,No.,Time,Source,Destination,Protocol,Length,Info
0,1,0.0,128.31.0.39,192.168.56.101,TCP,1514,9101  >  49231 [ACK] Seq=1 Ack=1 Win=65535 Len=1460 [TCP segment of a reassembled PDU]
1,2,6.974677,128.31.0.39,192.168.56.101,TCP,1514,[TCP Retransmission] 9101  >  49231 [ACK] Seq=1 Ack=1 Win=65535 Len=1460
2,3,21.072991,128.31.0.39,192.168.56.101,TCP,1514,[TCP Retransmission] 9101  >  49231 [ACK] Seq=1 Ack=1 Win=65535 Len=1460
3,4,24.459453,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
4,5,25.487075,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
5,6,26.508571,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
6,7,28.424973,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
7,8,29.451448,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
8,9,30.476612,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
9,10,32.357302,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
10,11,32.357304,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
11,12,32.502303,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
12,13,33.35814,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
13,14,33.358158,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
14,15,33.515087,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
15,16,34.360789,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
16,17,34.360794,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
17,18,34.539794,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
18,19,35.357641,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
19,20,35.357645,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
20,21,35.357674,128.31.0.39,192.168.56.101,TCP,1514,[TCP Retransmission] 9101  >  49231 [ACK] Seq=1 Ack=1 Win=65535 Len=1460
21,22,35.357686,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,192.168.56.1 is at 0a:00:27:00:00:00
22,23,35.357969,192.168.56.101,128.31.0.39,TCP,54,49231  >  9101 [RST] Seq=1 Win=0 Len=0
23,24,35.36625,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Leave group 224.0.0.252
24,25,35.366251,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Leave group 224.0.0.252
25,26,35.383814,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
26,27,35.383816,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
27,28,35.38608,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x4163 ANY None
28,29,35.386082,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x4163 ANY None
29,30,35.390344,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
30,31,35.390346,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
31,32,35.396856,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
32,33,35.396858,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
33,34,35.438612,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
34,35,35.438614,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
35,36,35.438729,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
36,37,35.438731,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
37,38,35.439677,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
38,39,35.439679,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
39,40,35.483583,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x4163 ANY None
40,41,35.483585,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x4163 ANY None
41,42,35.531563,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
42,43,35.531566,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
43,44,35.531573,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,192.168.56.1 is at 0a:00:27:00:00:00
44,45,35.716758,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
45,46,35.71676,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
46,47,35.860919,192.168.56.101,224.0.0.22,IGMPv3,62,Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources
47,48,35.860924,192.168.56.101,224.0.0.22,IGMPv3,62,Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources
48,49,36.138346,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
49,50,36.138351,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
50,51,36.160801,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
51,52,36.160803,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
52,53,36.176063,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
53,54,36.176065,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
54,55,36.187187,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
55,56,36.187189,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
56,57,36.187235,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
57,58,36.187236,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
58,59,36.187268,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
59,60,36.187269,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
60,61,36.348509,192.168.56.101,239.255.255.250,UDP,666,57521  >  3702 Len=624
61,62,36.348514,192.168.56.101,239.255.255.250,UDP,666,57521  >  3702 Len=624
62,63,36.43579,192.168.56.101,239.255.255.250,UDP,666,57521  >  3702 Len=624
63,64,36.435794,192.168.56.101,239.255.255.250,UDP,666,57521  >  3702 Len=624
64,65,36.88586,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x21c1 A wpad
65,66,36.885861,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x21c1 A wpad
66,67,36.888678,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
67,68,36.888682,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
68,69,36.936564,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
69,70,36.936567,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
70,71,36.936628,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
71,72,36.936629,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
72,73,36.936664,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
73,74,36.936665,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
74,75,36.984833,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x21c1 A wpad
75,76,36.984834,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x21c1 A wpad
76,77,37.186151,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
77,78,37.186155,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
78,79,37.650316,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xc4c8 A isatap
79,80,37.650318,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xc4c8 A isatap
80,81,37.692356,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
81,82,37.69236,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
82,83,37.693117,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
83,84,37.693118,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
84,85,37.694072,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
85,86,37.694073,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
86,87,37.753815,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xc4c8 A isatap
87,88,37.753816,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xc4c8 A isatap
88,89,37.937197,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
89,90,37.937201,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
90,91,37.951396,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
91,92,37.951398,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
92,93,38.365237,192.168.56.101,8.8.8.8,DNS,85,Standard query 0x971a A teredo.ipv6.microsoft.com
93,94,38.384581,8.8.8.8,192.168.56.101,DNS,158,Standard query response 0x971a No such name A teredo.ipv6.microsoft.com SOA ns1-04.azure-dns.com
94,95,38.442668,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
95,96,38.442671,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
96,97,38.686997,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
97,98,38.687002,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
98,99,38.700744,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
99,100,38.700747,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
100,101,38.705689,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
101,102,38.705691,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
102,103,38.720038,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
103,104,38.72004,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
104,105,38.739935,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
105,106,38.739937,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
106,107,38.769505,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
107,108,38.769507,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
108,109,39.154586,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
109,110,39.154588,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
110,111,39.173058,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
111,112,39.173059,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
112,113,39.187815,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
113,114,39.187817,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
114,115,39.44749,192.168.56.101,8.8.8.8,DNS,76,Standard query 0xab76 A www.msftncsi.com
115,116,39.452664,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
116,117,39.452666,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
117,118,39.483515,8.8.8.8,192.168.56.101,DNS,182,Standard query response 0xab76 A www.msftncsi.com CNAME www.msftncsi.com.edgesuite.net CNAME a1961.g2.akamai.net A 96.17.176.177 A 96.17.176.171
118,119,39.492099,192.168.56.101,96.17.176.177,TCP,66,49159  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1
119,120,39.505418,96.17.176.177,192.168.56.101,TCP,58,"80  >  49159 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
120,121,39.50562,192.168.56.101,96.17.176.177,TCP,54,49159  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0
121,122,39.506739,192.168.56.101,96.17.176.177,HTTP,151,GET /ncsi.txt HTTP/1.1 
122,123,39.506888,96.17.176.177,192.168.56.101,TCP,54,80  >  49159 [ACK] Seq=1 Ack=98 Win=65535 Len=0
123,124,39.525978,96.17.176.177,192.168.56.101,HTTP,233,HTTP/1.1 200 OK  (text/plain)
124,125,39.525991,96.17.176.177,192.168.56.101,TCP,54,"80  >  49159 [FIN, ACK] Seq=180 Ack=98 Win=65535 Len=0"
125,126,39.52627,192.168.56.101,96.17.176.177,TCP,54,49159  >  80 [ACK] Seq=98 Ack=181 Win=64061 Len=0
126,127,39.526906,192.168.56.101,96.17.176.177,TCP,54,"49159  >  80 [FIN, ACK] Seq=98 Ack=181 Win=64061 Len=0"
127,128,39.527049,96.17.176.177,192.168.56.101,TCP,54,80  >  49159 [ACK] Seq=181 Ack=99 Win=65535 Len=0
128,129,39.938009,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
129,130,39.938012,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
130,131,40.210957,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x025f A isatap
131,132,40.210959,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x025f A isatap
132,133,40.228173,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
133,134,40.228176,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
134,135,40.228186,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,192.168.56.1 is at 0a:00:27:00:00:00
135,136,40.317807,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x025f A isatap
136,137,40.317808,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x025f A isatap
137,138,40.516569,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
138,139,40.516574,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
139,140,40.687997,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
140,141,40.688002,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
